# <ProductString Version>;<NumericVersion>
GCS 9.0.0;900000
GCS 9.0.1;900010
GCS 9.0.2;900020
GCS 9.0.3;900030
GCS 9.0.4;900040
GCS 9.0.5;900050
GCS 9.0.6;900060
GCS 9.0.7;900070
GCS 9.0.8;900080
GCS 9.0.9;900090
GCS 9.0.10;900100
GCS 9.0.11;900110
GCS 9.0.12;900120
GCS 9.0.13;900130
GCS 9.0.14;900140
GCS 9.0.15;900150
GCS 9.0.16;900160
GCS 9.0.17;900170
GCS 9.0.18;900180
GCS 9.0.19;900190
GCS 9.0.20;900200
GCS 9.1.0;901000
GCS 9.1.1;901010
GCS 9.1.2;901020
GCS 9.1.3;901030
GCS 9.1.4;901040
GCS 9.1.5;901050
GCS 9.1.6;901060
GCS 9.1.7;901070
GCS 9.1.8;901080
GCS 9.1.9;901090
GCS 9.1.10;901100
GCS 9.2.0;902000
